Date,Country,Confirmed,Recovered,Deaths
2020-04-01,Afghanistan,237,5,4
2020-04-01,Albania,259,67,15
2020-04-01,Algeria,847,61,58
2020-04-01,Andorra,390,10,14
2020-04-01,Angola,8,1,2
2020-04-01,Antigua and Barbuda,7,0,0
2020-04-01,Argentina,1054,248,28
2020-04-01,Armenia,571,31,4
2020-04-01,Australia,4862,422,20
2020-04-01,Austria,10711,1436,146
2020-04-01,Azerbaijan,359,26,5
2020-04-01,Bahamas,21,1,1
2020-04-01,Bahrain,569,337,4
2020-04-01,Bangladesh,54,25,6
2020-04-01,Barbados,34,0,0
2020-04-01,Belarus,163,53,2
2020-04-01,Belgium,13964,2132,828
2020-04-01,Belize,3,0,0
2020-04-01,Benin,13,1,0
2020-04-01,Bhutan,4,0,0
2020-04-01,Bolivia,115,1,7
2020-04-01,Bosnia and Herzegovina,459,19,13
2020-04-01,Botswana,4,0,1
2020-04-01,Brazil,6836,127,240
2020-04-01,Brunei,131,52,1
2020-04-01,Bulgaria,422,20,10
2020-04-01,Burkina Faso,282,46,16
2020-04-01,Burma,15,0,1
2020-04-01,Burundi,2,0,0
2020-04-01,Cabo Verde,6,0,1
2020-04-01,Cambodia,109,25,0
2020-04-01,Cameroon,233,10,6
2020-04-01,Canada,9560,1324,109
2020-04-01,Central African Republic,3,0,0
2020-04-01,Chad,7,0,0
2020-04-01,Chile,3031,234,16
2020-04-01,China,82361,76405,3316
2020-04-01,Colombia,1065,39,17
2020-04-01,Congo (Brazzaville),19,0,0
2020-04-01,Congo (Kinshasa),109,3,9
2020-04-01,Costa Rica,375,4,2
2020-04-01,Cote d'Ivoire,190,9,1
2020-04-01,Croatia,963,73,6
2020-04-01,Cuba,212,12,6
2020-04-01,Cyprus,320,28,9
2020-04-01,Czechia,3508,61,39
2020-04-01,Denmark,3290,971,104
2020-04-01,Diamond Princess,712,603,11
2020-04-01,Djibouti,33,0,0
2020-04-01,Dominica,12,0,0
2020-04-01,Dominican Republic,1284,9,57
2020-04-01,Ecuador,2748,58,93
2020-04-01,Egypt,779,179,52
2020-04-01,El Salvador,32,0,1
2020-04-01,Equatorial Guinea,15,1,0
2020-04-01,Eritrea,15,0,0
2020-04-01,Estonia,779,33,5
2020-04-01,Eswatini,9,0,0
2020-04-01,Ethiopia,29,2,0
2020-04-01,Fiji,5,0,0
2020-04-01,Finland,1446,10,17
2020-04-01,France,57749,11053,4043
2020-04-01,Gabon,18,0,1
2020-04-01,Gambia,4,2,1
2020-04-01,Georgia,117,23,0
2020-04-01,Germany,77872,18700,920
2020-04-01,Ghana,195,31,5
2020-04-01,Greece,1415,52,50
2020-04-01,Grenada,9,0,0
2020-04-01,Guatemala,39,12,1
2020-04-01,Guinea,30,0,0
2020-04-01,Guinea-Bissau,9,0,0
2020-04-01,Guyana,19,0,2
2020-04-01,Haiti,16,1,0
2020-04-01,Holy See,6,0,0
2020-04-01,Honduras,172,3,10
2020-04-01,Hungary,525,40,20
2020-04-01,Iceland,1220,225,2
2020-04-01,India,1998,148,58
2020-04-01,Indonesia,1677,103,157
2020-04-01,Iran,47593,15473,3036
2020-04-01,Iraq,728,182,52
2020-04-01,Ireland,3447,5,85
2020-04-01,Israel,6092,241,26
2020-04-01,Italy,110574,16847,13155
2020-04-01,Jamaica,44,2,3
2020-04-01,Japan,2178,472,57
2020-04-01,Jordan,278,36,5
2020-04-01,Kazakhstan,380,26,3
2020-04-01,Kenya,81,3,1
2020-04-01,"Korea, South",9887,5567,165
2020-04-01,Kosovo,125,10,1
2020-04-01,Kuwait,317,80,0
2020-04-01,Kyrgyzstan,111,3,0
2020-04-01,Laos,10,0,0
2020-04-01,Latvia,446,1,0
2020-04-01,Lebanon,479,43,14
2020-04-01,Liberia,6,0,0
2020-04-01,Libya,10,0,0
2020-04-01,Liechtenstein,68,0,0
2020-04-01,Lithuania,581,7,8
2020-04-01,Luxembourg,2319,80,29
2020-04-01,MS Zaandam,9,0,2
2020-04-01,Madagascar,57,0,0
2020-04-01,Malawi,0,0,0
2020-04-01,Malaysia,2908,645,45
2020-04-01,Maldives,19,13,0
2020-04-01,Mali,31,0,3
2020-04-01,Malta,188,2,0
2020-04-01,Mauritania,6,2,1
2020-04-01,Mauritius,161,0,6
2020-04-01,Mexico,1215,35,29
2020-04-01,Moldova,423,23,5
2020-04-01,Monaco,55,2,1
2020-04-01,Mongolia,14,2,0
2020-04-01,Montenegro,123,0,2
2020-04-01,Morocco,654,29,39
2020-04-01,Mozambique,10,0,0
2020-04-01,Namibia,14,2,0
2020-04-01,Nepal,5,1,0
2020-04-01,Netherlands,13696,260,1175
2020-04-01,New Zealand,708,83,1
2020-04-01,Nicaragua,5,0,1
2020-04-01,Niger,74,0,5
2020-04-01,Nigeria,174,9,2
2020-04-01,North Macedonia,354,17,11
2020-04-01,Norway,4863,13,44
2020-04-01,Oman,210,34,1
2020-04-01,Pakistan,2118,94,27
2020-04-01,Panama,1181,9,30
2020-04-01,Papua New Guinea,1,0,0
2020-04-01,Paraguay,69,1,3
2020-04-01,Peru,1323,394,38
2020-04-01,Philippines,2311,50,96
2020-04-01,Poland,2554,47,43
2020-04-01,Portugal,8251,43,187
2020-04-01,Qatar,835,71,2
2020-04-01,Romania,2460,252,92
2020-04-01,Russia,2777,190,24
2020-04-01,Rwanda,82,0,0
2020-04-01,Saint Kitts and Nevis,8,0,0
2020-04-01,Saint Lucia,13,1,0
2020-04-01,Saint Vincent and the Grenadines,1,1,0
2020-04-01,San Marino,236,13,26
2020-04-01,Sao Tome and Principe,0,0,0
2020-04-01,Saudi Arabia,1720,264,16
2020-04-01,Senegal,190,45,1
2020-04-01,Serbia,1060,0,28
2020-04-01,Seychelles,10,0,0
2020-04-01,Sierra Leone,2,0,0
2020-04-01,Singapore,1000,245,3
2020-04-01,Slovakia,400,3,1
2020-04-01,Slovenia,841,10,15
2020-04-01,Somalia,5,1,0
2020-04-01,South Africa,1380,50,5
2020-04-01,South Sudan,0,0,0
2020-04-01,Spain,104118,22647,9387
2020-04-01,Sri Lanka,146,21,3
2020-04-01,Sudan,7,2,2
2020-04-01,Suriname,10,0,0
2020-04-01,Sweden,4947,103,239
2020-04-01,Switzerland,17768,2967,488
2020-04-01,Syria,10,0,2
2020-04-01,Taiwan*,329,39,5
2020-04-01,Tanzania,20,1,1
2020-04-01,Thailand,1771,505,12
2020-04-01,Timor-Leste,1,0,0
2020-04-01,Togo,36,10,2
2020-04-01,Trinidad and Tobago,90,1,5
2020-04-01,Tunisia,423,5,12
2020-04-01,Turkey,15679,333,277
2020-04-01,US,213372,8474,4757
2020-04-01,Uganda,44,0,0
2020-04-01,Ukraine,794,13,20
2020-04-01,United Arab Emirates,814,61,8
2020-04-01,United Kingdom,29865,179,2357
2020-04-01,Uruguay,338,41,2
2020-04-01,Uzbekistan,181,12,2
2020-04-01,Venezuela,143,41,3
2020-04-01,Vietnam,218,63,0
2020-04-01,West Bank and Gaza,134,18,1
2020-04-01,Western Sahara,0,0,0
2020-04-01,Yemen,0,0,0
2020-04-01,Zambia,36,0,0
2020-04-01,Zimbabwe,8,0,1
2020-04-02,Afghanistan,273,10,6
2020-04-02,Albania,277,76,16
2020-04-02,Algeria,986,61,86
2020-04-02,Andorra,428,10,15
2020-04-02,Angola,8,1,2
2020-04-02,Antigua and Barbuda,9,0,0
2020-04-02,Argentina,1133,256,36
2020-04-02,Armenia,663,33,7
2020-04-02,Australia,5116,520,24
2020-04-02,Austria,11129,1749,158
2020-04-02,Azerbaijan,400,26,5
2020-04-02,Bahamas,24,1,1
2020-04-02,Bahrain,643,381,4
2020-04-02,Bangladesh,56,25,6
2020-04-02,Barbados,46,0,0
2020-04-02,Belarus,304,53,4
2020-04-02,Belgium,15348,2495,1011
2020-04-02,Belize,3,0,0
2020-04-02,Benin,13,1,0
2020-04-02,Bhutan,5,1,0
2020-04-02,Bolivia,123,1,8
2020-04-02,Bosnia and Herzegovina,533,20,16
2020-04-02,Botswana,4,0,1
2020-04-02,Brazil,8044,127,324
2020-04-02,Brunei,133,56,1
2020-04-02,Bulgaria,457,25,10
2020-04-02,Burkina Faso,288,50,16
2020-04-02,Burma,20,0,1
2020-04-02,Burundi,3,0,0
2020-04-02,Cabo Verde,6,0,1
2020-04-02,Cambodia,110,34,0
2020-04-02,Cameroon,306,10,7
2020-04-02,Canada,11284,1735,139
2020-04-02,Central African Republic,3,0,0
2020-04-02,Chad,8,0,0
2020-04-02,Chile,3404,335,18
2020-04-02,China,82432,76565,3322
2020-04-02,Colombia,1161,55,19
2020-04-02,Congo (Brazzaville),22,2,2
2020-04-02,Congo (Kinshasa),134,3,13
2020-04-02,Costa Rica,396,6,2
2020-04-02,Cote d'Ivoire,194,15,1
2020-04-02,Croatia,1011,88,7
2020-04-02,Cuba,233,13,6
2020-04-02,Cyprus,356,28,10
2020-04-02,Czechia,3858,67,44
2020-04-02,Denmark,3573,1172,123
2020-04-02,Diamond Princess,712,619,11
2020-04-02,Djibouti,40,0,0
2020-04-02,Dominica,12,0,0
2020-04-02,Dominican Republic,1380,16,60
2020-04-02,Ecuador,3163,65,120
2020-04-02,Egypt,865,201,58
2020-04-02,El Salvador,41,0,2
2020-04-02,Equatorial Guinea,15,1,0
2020-04-02,Eritrea,22,0,0
2020-04-02,Estonia,858,45,11
2020-04-02,Eswatini,9,0,0
2020-04-02,Ethiopia,29,3,0
2020-04-02,Fiji,7,0,0
2020-04-02,Finland,1518,300,19
2020-04-02,France,59929,12548,5398
2020-04-02,Gabon,21,0,1
2020-04-02,Gambia,4,2,1
2020-04-02,Georgia,134,26,0
2020-04-02,Germany,84794,22440,1107
2020-04-02,Ghana,204,31,5
2020-04-02,Greece,1544,61,53
2020-04-02,Grenada,10,0,0
2020-04-02,Guatemala,47,12,1
2020-04-02,Guinea,52,0,0
2020-04-02,Guinea-Bissau,9,0,0
2020-04-02,Guyana,19,0,4
2020-04-02,Haiti,16,1,0
2020-04-02,Holy See,7,0,0
2020-04-02,Honduras,219,3,14
2020-04-02,Hungary,585,42,21
2020-04-02,Iceland,1319,284,4
2020-04-02,India,2543,191,72
2020-04-02,Indonesia,1790,112,170
2020-04-02,Iran,50468,16711,3160
2020-04-02,Iraq,772,202,54
2020-04-02,Ireland,3849,5,98
2020-04-02,Israel,6857,338,36
2020-04-02,Italy,115242,18278,13915
2020-04-02,Jamaica,47,2,3
2020-04-02,Japan,2495,472,62
2020-04-02,Jordan,299,45,5
2020-04-02,Kazakhstan,435,27,3
2020-04-02,Kenya,110,4,3
2020-04-02,"Korea, South",9976,5828,169
2020-04-02,Kosovo,125,10,1
2020-04-02,Kuwait,342,81,0
2020-04-02,Kyrgyzstan,116,5,0
2020-04-02,Laos,10,0,0
2020-04-02,Latvia,458,31,0
2020-04-02,Lebanon,494,46,16
2020-04-02,Liberia,6,0,0
2020-04-02,Libya,11,0,1
2020-04-02,Liechtenstein,75,0,0
2020-04-02,Lithuania,649,7,9
2020-04-02,Luxembourg,2487,80,30
2020-04-02,MS Zaandam,9,0,2
2020-04-02,Madagascar,59,0,0
2020-04-02,Malawi,3,0,0
2020-04-02,Malaysia,3116,767,50
2020-04-02,Maldives,19,13,0
2020-04-02,Mali,36,0,3
2020-04-02,Malta,196,2,0
2020-04-02,Mauritania,6,2,1
2020-04-02,Mauritius,169,0,7
2020-04-02,Mexico,1378,35,37
2020-04-02,Moldova,505,23,6
2020-04-02,Monaco,60,2,1
2020-04-02,Mongolia,14,2,0
2020-04-02,Montenegro,144,0,2
2020-04-02,Morocco,708,31,44
2020-04-02,Mozambique,10,0,0
2020-04-02,Namibia,14,3,0
2020-04-02,Nepal,6,1,0
2020-04-02,Netherlands,14788,260,1341
2020-04-02,New Zealand,797,92,1
2020-04-02,Nicaragua,5,0,1
2020-04-02,Niger,98,0,5
2020-04-02,Nigeria,184,20,2
2020-04-02,North Macedonia,384,17,11
2020-04-02,Norway,5147,32,50
2020-04-02,Oman,231,57,1
2020-04-02,Pakistan,2421,125,34
2020-04-02,Panama,1317,9,32
2020-04-02,Papua New Guinea,1,0,0
2020-04-02,Paraguay,77,2,3
2020-04-02,Peru,1414,537,55
2020-04-02,Philippines,2633,51,107
2020-04-02,Poland,2946,56,57
2020-04-02,Portugal,9034,68,209
2020-04-02,Qatar,949,72,3
2020-04-02,Romania,2738,267,115
2020-04-02,Russia,3548,235,30
2020-04-02,Rwanda,84,0,0
2020-04-02,Saint Kitts and Nevis,9,0,0
2020-04-02,Saint Lucia,13,1,0
2020-04-02,Saint Vincent and the Grenadines,2,1,0
2020-04-02,San Marino,245,21,30
2020-04-02,Sao Tome and Principe,0,0,0
2020-04-02,Saudi Arabia,1885,328,21
2020-04-02,Senegal,195,55,1
2020-04-02,Serbia,1171,0,31
2020-04-02,Seychelles,10,0,0
2020-04-02,Sierra Leone,2,0,0
2020-04-02,Singapore,1049,266,4
2020-04-02,Slovakia,426,5,1
2020-04-02,Slovenia,897,70,17
2020-04-02,Somalia,5,1,0
2020-04-02,South Africa,1462,50,5
2020-04-02,South Sudan,0,0,0
2020-04-02,Spain,112065,26743,10348
2020-04-02,Sri Lanka,151,21,4
2020-04-02,Sudan,8,2,2
2020-04-02,Suriname,10,0,0
2020-04-02,Sweden,5568,103,308
2020-04-02,Switzerland,18827,4013,536
2020-04-02,Syria,16,0,2
2020-04-02,Taiwan*,339,45,5
2020-04-02,Tanzania,20,2,1
2020-04-02,Thailand,1875,505,15
2020-04-02,Timor-Leste,1,0,0
2020-04-02,Togo,39,17,2
2020-04-02,Trinidad and Tobago,94,1,5
2020-04-02,Tunisia,455,5,14
2020-04-02,Turkey,18135,415,356
2020-04-02,US,243762,9001,5926
2020-04-02,Uganda,45,0,0
2020-04-02,Ukraine,897,19,22
2020-04-02,United Arab Emirates,1024,96,8
2020-04-02,United Kingdom,34173,192,2926
2020-04-02,Uruguay,350,62,4
2020-04-02,Uzbekistan,205,25,2
2020-04-02,Venezuela,146,43,5
2020-04-02,Vietnam,233,75,0
2020-04-02,West Bank and Gaza,161,18,1
2020-04-02,Western Sahara,0,0,0
2020-04-02,Yemen,0,0,0
2020-04-02,Zambia,39,0,1
2020-04-02,Zimbabwe,9,0,1
2020-04-03,Afghanistan,281,10,6
2020-04-03,Albania,304,89,17
2020-04-03,Algeria,1171,62,105
2020-04-03,Andorra,439,16,16
